outlet_lon,outlet_lat,WTRSHDGRPC
-122.03125,49.09375,CK-9008
-122.71875,49.28125,CK-5
-121.90625,49.28125,CK-3
-122.65625,50.34375,CK-4
-122.96875,50.46875,CK-6
-121.53125,50.28125,CK-17
