outlet_lon,outlet_lat,WTRSHDGRPC
-121.78125,49.34375,SEL-03-03
-124.15625,51.59375,SEL-06-03
-124.28125,54.40625,SEL-06-13
-125.78125,55.28125,SEL-06-14
-119.53125,50.90625,SEL-09-02
-119.53125,50.90625,SEL-09-03
-119.65625,50.96875,SEL-09-xx
